time_id,r_bist,r_garan,r_ereg,r_ansgr,r_toaso,r_vestl,r_usd
1,-1.4458,-4.5872,1.7241,0.0000,0.0000,-2.1277,-0.6814
2,-0.0151,0.7692,3.3898,-1.9231,5.8219,-2.1739,2.5386
3,1.2095,0.7634,0.8197,2.9412,5.5016,0.7407,-0.4015
4,-5.8475,-3.9773,-8.9431,-5.7143,-7.0552,-8.0882,1.9483
5,-0.7600,-2.3669,-2.6786,-4.0404,0.9901,-2.4000,0.0659
6,4.4163,8.2828,5.5046,2.1053,0.9804,3.2787,0.0659
7,-6.7771,-11.5672,-5.2174,-7.2165,-10.0324,-9.5238,1.5137
8,5.8749,12.2363,0.9174,8.8889,6.1151,6.5789,-0.1297
9,-0.7461,-3.1955,1.8182,-3.0612,0.0000,-0.4115,-0.8439
10,2.3050,4.8544,1.7857,2.1053,3.7288,-0.4132,0.4583
11,5.9391,10.0000,5.2632,2.0619,5.5556,3.7344,0.1955
12,2.5599,2.1886,1.6667,2.0202,2.7864,7.2000,-1.3659
13,1.9384,7.5783,-0.8197,1.9802,4.5181,-1.4925,-1.8464
14,-1.6250,-5.3599,0.8264,0.9709,4.3228,-0.7576,-0.6718
15,0.1972,-1.4563,-2.4590,-1.9231,0.0000,-0.7634,0.2705
16,1.0640,0.0000,1.6807,0.0000,3.3149,-1.5385,0.0000
17,-10.6381,-11.6585,-5.7851,-12.7451,-8.8235,-15.6250,4.9578
18,5.8096,8.5502,-3.5088,2.2472,0.0000,4.6296,-1.7674
19,-2.9351,-4.9658,-2.7273,-5.4945,-6.7449,-2.6549,3.1730
20,2.0736,3.7838,1.8692,0.0000,1.8868,2.2727,-0.8561
21,-1.1239,-5.2083,-3.6697,2.3256,0.0000,-3.5556,2.0467
22,0.9498,4.5788,0.0000,-1.1364,-1.8519,0.4608,-0.8775
23,3.4514,5.2539,0.9524,6.8966,9.1195,2.7523,-1.5808
24,-2.0518,-4.1597,0.0000,-4.3011,-3.4582,-4.4643,1.3492
25,-0.4078,1.3889,-1.8868,0.0000,-5.0746,-3.2710,-0.7290
26,2.7220,4.2808,0.0000,1.1236,10.0629,3.3816,-0.8940
27,1.0122,1.4778,0.0000,1.1111,1.7143,1.4019,-0.8698
28,2.7199,3.3981,2.8846,0.0000,-2.5281,1.3825,-0.9100
29,0.9565,2.5039,0.9346,1.0989,-1.7291,3.6364,-1.0823
30,-0.1900,-1.8321,3.7037,2.1739,3.5191,3.0702,-1.0942
31,-2.1307,-6.5319,0.0000,-1.0638,-5.9490,-0.4255,1.5421
32,0.4618,1.3311,0.8929,2.1505,4.5181,0.0000,-0.0660
33,1.0145,0.6568,0.8850,0.0000,4.3228,-1.7094,0.5286
34,2.7852,4.2414,1.7544,3.1579,5.8011,0.4348,-1.3802
35,-0.6406,0.6260,0.8621,-3.0612,0.0000,-1.2987,0.9997
36,5.3688,11.0420,5.1282,5.2632,2.3499,3.9474,-1.1877
37,0.5942,-0.5602,2.4390,1.0000,2.2959,0.4219,-1.4023
38,0.9982,-4.0845,8.7302,3.9604,9.4763,-0.4202,-1.9641
39,3.5981,5.4332,2.9197,0.0000,10.9339,2.1097,-2.1416
40,4.2905,1.8106,3.5461,0.9524,-1.8480,2.8926,-0.4942
41,1.2918,5.1984,-2.7397,5.6604,0.0000,2.0080,0.9933
42,-3.1636,-3.9012,-2.1127,-1.7857,-1.2552,-3.9370,0.4917
43,2.9358,3.2476,3.5971,3.6364,2.3305,1.2295,-2.2370
44,-1.7322,-3.5387,-2.7778,18.4211,1.0352,-0.8097,2.1452
45,0.6398,1.0870,1.4286,-2.9630,0.0000,-0.8163,1.0501
46,-5.5006,-5.6452,-6.3380,-8.3969,-7.3770,-2.8807,3.0481
47,1.0771,2.2792,0.0000,1.6667,11.2832,1.6949,-0.8067
48,-3.1426,-4.7354,-3.7594,-6.5574,-5.7654,-0.8333,1.7621
49,-1.9068,-8.0409,-0.7813,-3.5088,-2.7426,0.0000,3.0636
50,4.3183,6.3593,5.5118,6.3636,3.4707,2.5210,-0.0646
51,-0.3967,-1.7937,-1.4925,0.0000,-0.8386,0.0000,-0.1940
52,4.1903,4.5662,3.0303,5.1282,13.9535,7.7869,1.4901
53,-1.2951,-2.3290,-2.9412,-4.8780,1.2987,-2.2814,-0.9575
54,-2.8761,-5.3651,-0.7576,-0.8547,-6.0440,-1.9455,0.9668
55,-4.1197,-6.6142,-0.7634,-4.3103,4.6784,-5.1587,2.5535
56,3.3186,7.4199,-0.7692,5.4054,-2.0484,2.5105,-1.1204
57,-0.8860,-3.4537,3.1008,2.5641,-3.8023,1.2245,-0.1259
58,1.9394,5.6911,0.7519,-0.8333,-4.3478,1.2097,-0.6934
59,-6.9991,-7.2308,-4.4776,-13.4454,-6.1983,-7.5697,1.2060
60,-0.4147,-0.8292,-2.3438,-0.9709,9.0308,-2.1552,0.5017
61,4.3671,6.5217,0.8000,-3.9216,-3.4343,3.0837,-1.0608
62,0.0903,-0.4710,12.6984,3.0612,0.8368,4.2735,-0.3784
63,0.6387,-0.6309,0.0000,0.9901,2.0747,7.3770,-1.8993
64,2.2840,-2.0635,2.1127,3.9216,5.6911,3.0534,-0.7744
65,3.6200,6.9692,2.0690,5.6604,1.5385,-2.9630,-2.0163
66,0.5246,1.8182,0.0000,1.7857,5.1136,0.7634,0.4647
67,0.3525,-0.5952,4.0541,0.8772,-1.4414,-0.3788,0.1321
68,0.8129,0.8982,4.5455,1.7391,0.5484,3.4221,0.1320
69,-1.4573,0.4451,-3.7267,0.8547,-11.0909,-1.4706,1.1862
